Question,Lora Suggestions for Revised Question Wording,Keep/Not? Other comments,Answer,Revised Question Answer,Source Page,Difficulty Type,Relation
"How many safety modes does the arm have, and what are the names of each?",What safety modes does the robot arm have?,,"The robot arm has three safety modes. Normal mode, reduced mode, and recovery mode. ","The robot arm has three safety modes. Normal mode, reduced mode, and recovery mode. ",115,Easy,"Safety, Info"
"If my stopping time safety limit is set to 200 ms and the robot stopped in 1000ms, what will happen?",What happens if my robot stopped in 1000ms when my stopping time safety limit is set to 200ms?,,The robot arm will enter recovery mode because the safety limits have been violated. ,The robot arm will enter recovery mode because the safety limits have been violated. ,116,Moderate,"Safety, Operations, Info"
If I want to load a program what tab must I be in? ,What mode do I need to be in to load a program?,,"You must be in the Run tab to load a program. You may be able to play a program from the Program tab as well, but that is less common.","You need to be in Automatic Mode to load and execute a program, but you need to be in manual mode to modify and create new programs.",136,Easy,"Operations, Info"
"My active program has a very long list of variables, but I only end up changing 1 or 2 of the same ones each run. Is there an easier way to change these variables?",How can I set up my active program so that I only need to modify 1 or 2 variables each run?,,"Yes, you can designate a program variable to be in a ""Favorite program variables"" list for each program. That way you only need to look at the variables that you designated important.","If you only want to modify 1 or 2 variables during each run of a program, you can favorite specific program variables so you can access them easier and not go through other variables. ",137,Moderate,"Operations, Info"
"Are there any network configuration requirements to use the network features of the robot? If so, what are they?",What are the network configuration requirements to use the network features of the robot?,,"Yes, only trusted devices should be connected to the local area network. There must be no inbound connections from adjacent networks to the robot, outgoing connections from the robot are to be restricted to allow the smallest relevant set of specific ports, protocols and addresses. Only URCaps and magic scripts from trusted partners can be used and only after verifying their authenticity and integrity. ","The network requirements suggest that only trusted devices should be connected to the local area network. There must be no inbound connections from adjacent networks to the robot, outgoing connections from the robot are to be restricted to allow the smallest relevant set of specific ports, protocols and addresses. Only URCaps and magic scripts from trusted partners can be used and only after verifying their authenticity and integrity. ",167,Moderate,"Safety, Info"
The safety settings in the configuration wont let me change certain settings? As if they are not unlocked. Why?,The safety settings in the configuration wont let me change certain settings? Why not?,,"You must set up a password before you can change certain safety settings. Once it is set up, options will be greyed out until you enter the password and unlock the safety configuration again.","If the safety settings are not letting you change them, there is likely a safety password previous set. Once you enter the password and press ""Unlock"" the settings should be accessible. ",169,Moderate,"Safety, Maintenance, Info"
How do I set the admin password?,,,"Go to the settings, tap ""admin"" under ""password"", enter ""easybot"" into the ""Current Password"" option. Enter the new password under ""new password"" and ""confirm new password"". Then tap Apply to confirm the change/set.",,170,Easy,"Safety, Maintenance, Info"
What network protocols for real-time control does the robot accept?,,,"MODBUS, Ethernet/IP, PROFINET, and PROFIsafe",,172,Easy,Info
My advanced options for my communications settings when to a low number from a high number. What could have caused this?,Why did my advanced options for communications settings change from a high number to a low number?,Don't think this is very relevant in most cases,"The advanced options counters only go up to 65535. If a value exceeds that it wraps back to 0, and continues from there",,176,Moderate,Info
"My robot is close to a collision and if I restart it, it may cause another collision from the vibrations. What can I do?",,,"You can use backdrive. In backdrive manual mode, you can use force to move specific joints to a desired position without releasing all brakes in the arm.",,186,Moderate,"Safety, Operations"
Is it fine to use a random box to move the arm if I want to transport it?,Is it ok to use any type of packaging to move the arm if I want to transport it?,,"No, not using the original packaging when transporting the arm will void the warranty. If you want to transport the robot please follow the standard procedure for doing so and use the original packing the arm came in.","No, not using the original packaging when transporting the arm will void the warranty. If you want to transport the robot please follow the standard procedure for doing so and use the original packing the arm came in.",192,Moderate,"Safety, Info"
"I used to use an old robot arm, which I had to constantly test the stopping performance for every use, do I have to do that with this arm?",,,"No. So long as you have the stop distance safety functions used, the robot arm will do continuous monitoring of its own stopping performance and will enter recovery mode if it fails during monitoring.",,194,Hard,"Safety, Maintenance, Info"
How do I clean the machine?,,,"Prepare the surface by removing loose dirt or debris. Apply a cleaning agent to the surface that needs cleaning, agitater the agent for stubborn spots, let the agent rest on the surface for 5 minutes, rinse the system with water, and leave the machine out to air dry, or dry using towels.",,194,Easy,"Maintenance, Info"
I want to use bleach as a cleaning agent. Is this fine? If not what should I use?,Can I use bleach as a cleaning agent? What should I use instead?,,"You should not use bleach as a cleaning solution for this arm. The recommended agents you can use include water, 70% isopropyl alcohol, 10% ethanol alcohol, and 10% naphtha to remove grease.","You should not use bleach as a cleaning solution for this arm. The recommended agents you can use include water, 70% isopropyl alcohol, 10% ethanol alcohol, and 10% naphtha to remove grease.",194,Moderate,"Maintenance, Info"
I got some grease on my arm while cleaning. Is there any risk?,I got some grease on my arm while cleaning. Is that ok?,,"Yes, grease is an irritant and can cause an allergic reaction. Wash the area with water and a mild cleaning agent to reduce risk of a reaction.","No, grease is an irritant and can cause an allergic reaction. Wash the area with water and a mild cleaning agent to reduce risk of a reaction.",195,Easy,"Safety, Maintenance, Info"
How do I power down the robot arm?,,,"Press the power button on the TP to turn off the robot, then unplug the power cord from the wall socket and give it 30 seconds to discharge any stored energy.",,46,Easy,Operations
I dropped some liquid on my robot arm. Is this fine?,I dropped some liquid on my robot arm. Will that break it or cause a safety issue?,,"No. The reduce risk, you should stop the machine properly, and verify no liquid was in contact with the control box especially. Otherwise, dry the machine after it has cooled.","It has the potential for a break or safety issue. To reduce risk you should stop the machine properly and verify no liquid was in contact with the control box especially. Otherwise, dry the machine after it has cooled.",48,Moderate,"Safety, Info"
How do I lock the X axis from rotating on the arm when in freedrive mode?,,,"On the freedrive pane, there are toggles to lock X, Y, Z, and RX, RY, and RZ axes. To lock the rotational X axis you should toggle off the RX option.",,59,Moderate,"Operations, Info"
"If I am in freedrive mode and the selected constrained symbol is a three arrowed lines going equidistant from the center of the icon, what constraint mode am I in?",What does the symbol with 3 arrowed lines emerging from the center of the icon mean?,,"You are in translation control mode. This means movement is allowed through all axes, but without rotation.","This is a icon used for the translation control mode, meaning movement is allowed through all axes, except rotational.",59,Hard,"Operations, Info"
