machine,question,gold_answer
UR5e Cobot,What must be provided as part of the electrical installation for the UR5e Control Box mains connection?,"Provide:
- Connection to ground
- Main fuse
- Residual current device
- A lockable switch in the OFF position
A main switch shall also be installed to power off all equipment in the robot application as an easy means for lockout."
UR5e Cobot,What should you do before turning on the robot arm after connecting the Robot Cable to the Control Box?,"Plug and lock the cable from the robot into the connector at the bottom of the Control Box, then twist the connector twice to ensure it is properly locked. Do not disconnect the Robot Cable when the robot arm is turned on, and do not extend or modify the original Robot Cable."
UR5e Cobot,Why is it important to set the robot arm mounting correctly in the installation settings?,"Specifying the mounting makes the Robot arm appear correctly on screen and tells the controller the direction of gravity. If mounted incorrectly, the robot may stop frequently and/or move when pressing the Freedrive button."
UR5e Cobot,What actions can PolyScope take if the robot loses EtherNet/IP Scanner Device or PROFINET IO-Controller connection during a program?,"The selectable actions are None, Pause, or Stop. None lets the program continue, Pause pauses the current program and resumes from where it stopped, and Stop stops the current program."
UR5e Cobot,"What are the input voltage range, input frequency range, and nominal operating power for the UR5e Control Box?","Input voltage: 90–264 VAC. Input frequency: 47–440 Hz. Nominal operating power: typ. 150 W, max. 325 W."
UR5e Cobot,How do you configure the robot to operate without a Teach Pendant?,"In Header, tap Installation, then Safety > Hardware. Enter the Safety password and unlock the screen, deselect Teach Pendant, then press Save and restart to implement the changes."
UR5e Cobot,What safety precaution is required when the Teach Pendant is detached or disconnected?,The Emergency Stop button on the Teach Pendant is no longer active. You must remove the Teach Pendant from the vicinity of the robot.
UR5e Cobot,"When does the Safety Checksum change, and how should it be read?","The Safety Checksum changes when Safety Functions settings are changed, and only after the Safety Configuration changes are applied. A four-digit checksum is read top to bottom and left to right; an eight-digit checksum is read left to right, top row first."
UR5e Cobot,"What does the MODBUS Sequential mode do, and when might it be useful?",Sequential mode forces the MODBUS client to wait for a response before sending the next request. It is required by some fieldbus units and can help when multiple signals and higher request frequency cause signal disconnects.
UR5e Cobot,"What is the warning for tool analog inputs in current mode, and what are the current-mode electrical limits?","Analog Inputs are not protected against over voltage in current mode, and exceeding the specification can permanently damage the input. In current mode, input voltage is -0.5 to 5.0 V and input current is -2.5 to 25 mA."
UR5e Cobot,"What happens in Recovery mode, and what safety warning applies when moving the robot arm in this mode?","Recovery mode activates when an active safety limit is violated, and the robot arm performs a Stop Category 0. If a safety limit is already violated at power-on, the robot starts in Recovery mode so it can be moved back within limits. In Recovery mode, joint position, tool position, and tool orientation limits are disabled, so caution is required."
UR5e Cobot,"How many safety planes can be defined, and what must be created before configuring them?","You can define up to eight safety planes. Before configuring safety planes, you must define a feature in the robot installation so it can be copied into the safety plane screen and configured."
UR5e Cobot,"What is the difference between Emergency Stop and Safeguard Stop in terms of drive power, reset, and stop category?","Emergency Stop turns drive power off, requires a manual reset, and is Stop Category 1. Safeguard Stop leaves drive power on, allows automatic or manual reset, and is Stop Category 2."
UR5e Cobot,When should safety functions be verified and tested?,Safety functions shall be verified before putting the robot into operation. They shall also be tested regularly.
UR5e Cobot,What are the voltage and current requirements for the external 24V input used to supply the I/O?,"For the external 24V input [24V - 0V], the voltage must be 20–29 V, with 24 V typical. The maximum current is 6 A."
UR5e Cobot,"How do you set the Administrator password on the UR5e, and what is the default current password?","Go to Header > Hamburger menu > Settings > Password > Admin. Enter the current default password ""easybot,"" then create and confirm a new password and tap Apply."
UR5e Cobot,What warning does the manual give about losing the Admin password?,The manual warns that you cannot recover a lost Admin password. Appropriate steps must be taken to ensure the admin password is not lost.
UR5e Cobot,What personal protective equipment and precautions are recommended when handling grease during maintenance?,"Use oil-resistant nitrile gloves and eye protection. Ensure the area is well ventilated, keep food and beverages away, have an eyewash station nearby, and do not ingest the grease."
UR5e Cobot,Under what conditions is the robot considered to be in the Safe Home Position?,"The robot is in the Safe Home Position when it is at rest, meaning not moving, and in the position defined as the Safe Home Position."
