Question,Answer,Source Page,Difficulty Type,Relation
"In the event a person or article of clothing is trapped in the HAAS Lathe, what should be done?",The [Emergency Stop] knob should be depressed and the person/object removed.,5,Easy,"Safety, Operations"
How long can the HAAS machine be idle before it is recommended to run the Spindle Warm-up program?,4 days,82,Easy,"Maintenance, Operations"
What are the basic safety equipment a person should wear when operating the HAAS Lathe?,"Eye and ear protection, and gloves if moving processed material or cleaning the machine.",4,Easy,Safety
"If an electrical fault is detected, what is the appropriate action for the person operating the HAAS Lathe to do?",Do not reset the circuit breaker yourself. Contact a HAAS-trained personnel to troubleshoot and repair the HAAS machine,4,Easy-Moderate,Safety
What are the typical noise limits of the HAAS machine? Is this loud enough to warrant the people near it wearing ear protection?,"Typical A-Weighted sound pressure measurements or ""dB A"" should be 69.4dB or lower. C-Weighted instantaneous sound pressure levels will be 78.0dB or lower. LwA sound power level A-Weighted levels will be 75.0dB or lower. 85dB is typically the audio level required for ear protection, but wearing ear protection is still recommended. ",8,Moderate,Safety
What are the requirements for HAAS Lathe coolant? What are some examples of coolant that are not sufficient?,"Appropriate coolant must be water soluble, synthetic oil-based or synthetic-based coolant or lubricant. Examples of coolant that are not sufficient include plain water, flammable coolants, or straight/neat mineral-oil products.",12,Easy,Maintenance
What does the safety symbol that has a flat surface with 3 wavy lines mean in regards to the HAAS Lathe?,That symbol indicates that that part of the machine is used by the spindle drive to dissipate excess power and will get hot. ,14,Moderate-Image recognition,Safety
"If after I powered on the HAAS Lathe, I want to change the program that will run, how can I do so?","Press the [List Program] button to access the list of programs, and use the [Up] and [Down] arrowed buttons to select the desired program. Then, once the desired program is highlighted, press the [Select Program] button to make the highlighted program the active program.",34,Moderate,Operations
"If I am unsure about how a program will run on the HAAS Lathe, or if it is the correct program, what can I do to check?","With the appropriate program highlighted in the list of programs, you can press [Alter] to read the instruction set of the program. You can also press the [Graphics] button to run the program in a simulated mode displayed on the machine screen to see if the program is as desired.
","88 and 113,114",Moderate,"Coding, Operations"
What is the turnable handle jog control used for on the HAAS Lathe?,"It can be used to scroll through on-screen menus and tabs when not in jog mode, and can be used to move any of the X or Z axis to the desired position when in jog mode.",127 and 94,Moderate,Operations
I want to set the tool offsets of the HAAS Lathe. What parts/items do I need before I can start?,"An O.D. Turning Tool, work piece that fits in the chuck jaws, and a measuring tool.",94,Easy,"Maintenance, Operations, Tooling"
What is the Run-Stop-Jog-Continue motion on the HAAS Lathe? And what are the possible benefits of it?,"It is a feature of certain HAAS machines that lets the operator pause the program operation with the [FEED HOLD] button and use the handle jog to move the axis away from the part being machined. Pressing [Memory] or [MDI] returns it to run mode and pressing [Cycle Start] continues the program. It's benefits are that it allows the operator to inspect the machined part and ensure it is being inscribed, cut, or otherwise operated on correctly and to the desired specification without having to restart the program.",114-115,Moderate/Hard-Reasoning,Operations
What are the risks/warnings I should be aware of when using the Run-Stop-Jog-Continue motion with the HAAS Lathe?,"You should not remove, or change out the offsets or tools while in this operation, due to the machine going back to the previous offsets when continuing, which could result in undesired collisions. You should also not expect or rely on the machine taking the same path back to the original position that you took away from it. The spindle is also still running in this mode, so it is not safe to interact with certain parts of the machine even if the axis motion has stopped. ",114,Moderate/Hard-Reasoning,Safety
"If I want to signify to people that may come and use the HAAS Lathe after me that I do not want them editing any programs at the moment, what can I do?","The system settings comes with a (Memory Lock) setting, that when switched on blocks programs from being modified until it is switched off. This along with a note can help signify that modifying any programs on the machine should not be done at the moment.",127,Hard-Reasoning,Safety
I keep taking photos of the HAAS screen with my phone to send to co-workers to describe what they should be doing. They complain it is too fuzzy to see. What can I do instead to get a clearer picture?,"The HAAS machine comes with a screen capture function. Pressing [Shift] and [F1] will save a ""snapshot#.png"" file to a USB device if connected or the control memory. These screenshots can be sent instead of taking a physical photo.",64,Moderate,Operations
I am encountering an issue/error with the UI or HAAS Lathe that seems to occur if I do a specific set of steps. Who should I contact to help with this? And what should I send them?,"You should email an error report to a local HAAS factory outlet if the error is not major or immediate. You can generate an error report once the error occurs with [Shift] and [F3], which will be saved to a USB or control memory. You should include this report with the email describing the problem.",64,Moderate,"Safety, Operations"
I have opened the [List Program] menu on the HAAS Lathe but how can I tell what the active program is?,"The active program will be listed with a ""*"" in the far right column of the display.",86,Easy,"Coding, Operations"
"I want to make a change to a program on the HAAS Lathe, but also keep the current version in case I mess something up. What can I do?","You can make a copy of the program, and then edit the main program. That way you will have a copy to fall back on if anything goes wrong. To make a copy, open up the program list, highlight the desired program, press [Enter] to checkmark it, then press [F2] to open the copy menu and select a device and subdirectory to copy to.",87,Moderate,Coding
"My HAAS Lathe is running out of space, but I don't want to add a permanent storage device to it. What can I do to keep all the current machine information and programs stored somewhere so I can remove programs that are rarely used without fear? And how would I go about doing so?","The HAAS machine can do a full machine backup, which copies the settings, programs, and other data so it's easy to restore later on. To do this you can plug in a USB, navigate to it in the program list, press [F4] and select ""Back Up Machine"" in the appearing drop down menu. Then from there follow the on screen instructions and choose what you want backed up. You can then restore this backup later on if you need something back.",91,Moderate,"Coding, Operations"
How do I start the active program after the HAAS Lathe is powered on?,Ensure proper safety guarding including the chuck guard is in place and press [Cycle Start],94,Easy,Operations
How do I install a collet on the HAAS Lathe?,"First ensure you are in the correct mode to be in, or the machine is powered off. Thread the collet adapter into the drawtube, place the spindle nose on the spindle and align one of the holes on the back of the spindle nose with the drive dog fasten the spindle nose to the spindle with six SHCS(Socket Head Cap Screws), then thread the collet onto the spindle nose and align the slot on the collet with the set screw on the spindle nose. Then lastly tighten the setscrew on the side of the spindle nose.",99,Easy,"Safety, Maintenance"
"My HAAS Lathe turret index time is slow, and the turret has trouble unclamping. What is the first thing I should suspect as the reason?",The air pressure applied to the turret clamp/unclamp piston is too low or not volumous enough. Check the air pressure supply line. ,106,Moderate,Maintenance
I want to change out a tool for a different one on the HAAS Lathe. How do I select the tool I want to switch out on the turret?,"Ensure the machine is not running a program, enter MDI mode, press [TURRET FWD] and [TURRET REV] until the desired tool is in the turret index position. ",134,Easy,"Operations, Tooling"
"If I want machine-specific information about my HAAS Lathe's functions and do not want to use the internet, what can I do?",You can read the manual given to you with the purchase or rental of the specified lathe. You can use the [HELP] key on the control panel and use the handle jog to sift through the information. You can also search for specific keywords or information in the [HELP] menu.,66,Moderate,Safety
"My display on my HAAS Lathe is showing a yellow icon with a red temperature reader on it, with a black looking liquid at the bottom, what does this indicate?","This is the HPU Oil temperature warning, it indicates the oil temp is too high to operate the HPU(Hydraulic Power Unit).",73,Moderate-Image recognition,"Safety, Maintenance"
"My display on my HAAS Lathe is showing a yellow icon with what looks like a speedometer pointed to the red and the text ""I/min"" at the bottom. What does this mean?",This means you are in metric mode and the airflow is not sufficient for machine operation,73,Moderate-Image recognition,Maintenance
How do I power up the HAAS lathe?,"Check for any safety concerns first, then press the [Power On] button until the HAAS logo is visible. Turn the [Emergency Stop] to the right to reset it, then press [RESET] to clear the startup alarms. Close the machine doors, and press the [POWER UP] button on the control. You should also have the chuck guards in place.",81,Easy/Moderate,Operations
Are there any safety instructions preventing me from working in the dark with the HAAS Lathe?,"Yes, it is unsafe to work in the dark with the lathe. The workplace/area should be well illuminated when operating the HAAS lathe.",1,Easy,"Safety, Operations"
I've been running my HAAS Lathe spindle at 180% or above load for a few minutes and an alarm has started. What kind of alarm is it?,An axis overload alarm. When running the spindle at 180% or above load for 1.5 minutes the axis overload alarm will begin indicating as such.,114,Moderate,"Safety, Operations"
"I was editing my current program in the file editor on the HAAS Lathe, when I accidentally removed 5 instructions that were important. I forgot to make a backup, what can I do?","The HAAS machine comes with a [Undo] feature. Assuming removing these 5 instructions was the last thing you did, you will be able to press [Undo] 5 times and reverse the change. It is recommended that you make regular backups, and edit copies of files instead of editing the file directly.",122,Moderate,Coding
I have written the wrong instruction many times over throughout my program on my HAAS Lathe. Is there a quicker way to change them instead of doing so one at a time?,"You can use the ""Find and replace"" function of the editor. Press [Enter] when in the editor pull-down menu to access it and fill out each required search/replace section.",123,Moderate,Coding
What are the three typical parts of a CNC program on a HAAS Lathe?,"Preparation, cutting, and completion",129,Easy,"Coding, Operations"
"My hydraulic tailstock isn't functioning properly on the HAAS Lathe, what might be the cause?","The tailstock could have low PSI. PSI below 120 is not enough. If you have followed the tailstock operating procedure correctly and there is clearly a violation, you should contact HAAS support.",108,Moderate,Maintenance
What are the basic different types of tailstock on a HAAS Lathe?,"The three basic types are hydraulic quill, hydraulic positioned, and servo.",108,Easy,Info
How do I perform a tool load/change on a HAAS Lathe?,"Enter MDI mode, and enter the tool number you want to switch to in the format ""Tnn"". Or use the  [TURRET FWD] or [TURRET REV] keys to move to the desired tool. To mitigate risk, you should also consider how to safely restart the machine.",107,Easy/Moderate,Tooling
"I want to use a ""{"" symbol in the file name for a program for the HAAS Lathe, but I can't find it on the keypad. What do I do?",Press [F3] and access the [Special Symbols] section at the bottom of the drop down. The symbol will be displayed with a number. Press the number associated with the symbol and it will be selected to be used.,89,Moderate,Coding
Are there any safety warnings associated with the HAAS Lathe chuck specifically?,"Yes, the chuck is very heavy, so lifting equipment should be used when removing or adding it. The object inside the chuck can be loosened if there is power loss, machining parts larger than the chuck is not allowed, the chuck jaws should not protrude further than the chuck diameter, exceeding rated chuck RPM is not allowed as it can reduce the chucks gripping force. Violating any of these warnings can be dangerous.  When the machine is in operation there should also be a chuck guard in place.",97-98,Moderate,"Safety, Maintenance"
"If I want to disallow a tool from being used in a group, what can I do without removing the tool itself when using a HAAS Lathe?",You can use ATM(Advanced Tool Management) to make a tool obsolete. Macros 8001 to 8099 represent tool 1-99. Setting any of these to equal 1 results in the tool being marked as obsolete. ,104,Moderate,"Coding, Operations, Tooling"
If I want to make a backup of my HAAS Lathe ATM(Advanced Tool Management) information how do I do so?,"Open the program list with [Program List], type a filename in the input bar, press [F4] and select [Save ATM] in the drop-down menu.",105,Moderate,Info
The unused sockets of my HAAS Lathe turret keep getting dirty after use. How can I prevent this?,You should install protective caps into the unused slots of the turret. This prevents debris from getting into the sockets.,106,Moderate,"Maintenance, Tooling, Info"
A client wants us to measure all out movements in MM instead of Inches. Can the HAAS Lathe also reflect this?,"Yes, you can change the dimensions settings from inch to mm in Setting#9 of the settings menu. ",127,Moderate,Info
What setting number prevents the operator from overriding the HAAS Lathe offsets?,"Setting #119 or Setting #8
",128,Easy,"Safety, Info"
"In the Net Share for my HAAS Lathe, our folder called ""Our Programs"" is behaving wrong. Is there any obvious issue?",Yes. The shared folders should not contain spaces.,417,Moderate,Info
"I wanted to be able to show my HAAS display on my laptop, so I tried to set up remote display view, but I can't see the setting for remote display on the machine. Why?",It is likely that your machine OS version is too low. Please ensure that your machine version is 100.18.000.1020 or higher.,422,Moderate,Info
"Now that I have set up Remote display viewing on my HAAS, I want to access it on my laptop. Do I need any extra software?","Yes, you need a VNC viewer. The recommended VNC viewer is called ""VNC Viewer"" and is available at ""www.realvnc.com""",421,Moderate,Info
"Give me the setting number for ""Max User Travel Limit Y"", ""Bar Feeder Enable"", and ""Probe Offset Z+"" on the HAAS Lathe.","314, 336 and 333 respectively. ",371,Easy,Info
I've noticed that the corners of my machined parts look too sharp on all my programs. Can I change this on the HAAS Lathe?,"Yes, you can change the rounding tolerance in the settings menu. It is the 85th setting and allows you to specify the tolerance level for rounding corners. ",382,Moderate,"Operations, Info"
I keep noticing my HAAS Lathe air reservoir has too much condensation in it. Is there any way to fix this?,You can adjust the Air Water Purge Interval to be lower and thus happen more often. Or you can adjust the Air Water Purge On-Time to be higher if the system is having trouble removing the water each interval.,393,Moderate,"Safety, Maintenance"
My HAAS Lathe keeps displaying a icon that consists of a single black dot and 3 grey arcs above it. What does this mean?,The air pressure applied to the turret clamp/unclamp piston is too low or not great enough in volume. Check the air pressure supply line.,410,Moderate/Image-recognition,"Safety, Maintenance"
"I want to pack up my HAAS Lathe for shipping, am I allowed to do this?","No, machine packing is considered ""service"" and should only be performed by specially trained service personnel.",2/3,Moderate,Safety
What are the three areas of operation for HAAS Lathes?,"Operations, Maintenance, and Service.",2,Easy,Info
